"Mme CatherineVautrin"," La séance est ouverte. (La séance est ouverte à neuf heures trente.)  Équilibre des finances publiques Discussion, en troisième lecture, d’un projet de loi constitutionnelle ","28","yes","mercredi 13 juillet 2011","Première Première"
"Mme CatherineVautrin","L&#x2019;ordre du jour appelle la discussion, en troisième lecture, du projet de loi constitutionnelle relatif à l&#x2019;équilibre des finances publiques (n° La parole est à M. Michel Mercier, garde des sceaux, ministre de la justice et des libertés.","37","yes","mercredi 13 juillet 2011","Première Première"
"M. Michel Mercier,"," Madame la présidente, monsieur le président de la commission des lois et rapporteur, mesdames, messieurs les députés, la discussion qui s&#x2019;ouvre et le vote qui viendra la conclure sont empreints d&#x2019;une certaine solennité. D’abord parce que la troisième lecture, à laquelle nous allons procéder ensemble, du projet de loi constitutionnelle relatif à l’équilibre des finances publiques pourrait – je l’espère du moins vivement – sceller un accord que je n’hésite pas à qualifier d’historique entre les deux assemblées du Parlement, en parfaite intelligence avec le Gouvernement, pour garantir un cadre de gouvernance propre à assurer, après tant de décennies de déficits, l’équilibre des comptes des administrations publiques. Ensuite parce que l’actualité de ces derniers jours a montré, ou plutôt confirmé avec éclat, l’importance des enjeux qui sous-tendent ce texte. Aujourd’hui plus que jamais, nous mesurons combien cette réforme constitutionnelle est indispensable à la crédibilité financière de notre pays et à l’indépendance économique des générations futures. Il est temps de nous doter des mécanismes institutionnels adaptés aux exigences d’une gestion budgétaire vertueuse. Le creusement des déficits et de la dette ne compromet pas uniquement nos capacités d’investissement ; il risque même, à terme, de rendre impossible le financement de nos dépenses de fonctionnement. C’est donc par un comportement responsable que nous pourrons conserver notre indépendance et notre liberté de choix. Les grands pays européens qui nous entourent sont résolument engagés dans le redressement budgétaire de leurs comptes publics et sociaux, au moyen d’instruments institutionnels. L’Allemagne a ainsi inscrit dans sa loi fondamentale une « règle d’or » prévoyant un retour à l’équilibre à l’horizon 2018. Le Royaume-Uni a également instauré une golden rule. Le Conseil ECOFIN du 15 mars 2011 a adopté quant à lui un « paquet gouvernance » proposé par la Commission le 29 septembre 2010 et constitué de six textes, dont un projet de directive obligeant en particulier les États membres à instaurer des règles de finances publiques faisant l’objet d’un suivi efficace. Ce modèle tend à s’imposer comme un standard international. Le Fonds monétaire international dénombre ainsi quatre-vingt-dix États dotés de règles budgétaires contraignantes, alors qu’ils n’étaient que sept en 1990. C’est dire que, partout dans le monde, les responsables politiques affirment leur détermination présente et future à redresser leurs finances publiques et à conforter ainsi la crédibilité budgétaire de la nation. En France, par la révision du 23 juillet 2008, le constituant a doté la nation d’instruments efficaces de programmation des finances publiques, inscrivant dans le même mouvement les principes de régularité et de sincérité des comptes publics dans la Constitution. Le texte que nous vous proposons aujourd’hui prolonge cette première étape et lui donne tout son sens. Tous, ici, nous sommes pleinement convaincus que la maîtrise collective de notre destin est un sujet d’essence constitutionnelle : parce que la Constitution a pour fonction de définir les règles du vivre ensemble, et parce que, en inscrivant ce nouveau cadre dans la Constitution, nous ferons preuve de responsabilité à l’égard des générations futures. Je tiens à saluer le consensus dont l’objectif du texte fait l’objet : sur ses dix-sept articles, sept seulement restent en discussion. Le texte comporte d’abord une innovation majeure : l’institution des lois-cadres d’équilibre des finances publiques. Elles seront l’outil essentiel permettant de définir et de réaliser la trajectoire de retour à l’équilibre de nos comptes publics. Elles s’imposeront à plusieurs égards aux lois annuelles de finances et de financement de la sécurité sociale. Elles se distinguent en cela des actuelles lois de programmation, qui valent certes engagement politique de la représentation nationale et constituent à cet égard un cadre utile, mais qui n’emportent pas de conséquences juridiques directes. Ces lois-cadres, couvrant une période d’au moins trois ans, fixeront pour chaque année une norme d’évolution des dépenses et un montant minimal de mesures nouvelles en recettes, déterminant de la sorte une trajectoire de retour à l’équilibre. Le texte, tel qu’enrichi par l’Assemblée nationale, précise encore que la conformité des lois financières annuelles aux dispositions impératives de la loi-cadre fera l’objet d’un contrôle de plein droit du Conseil constitutionnel. Ce contrôle s’ajoutera au contrôle de droit commun qui sera, le cas échéant, exercé par rapport aux autres éléments du bloc de constitutionnalité, sur saisine des parlementaires, au titre de l’article 61 de la Constitution. Je tiens à saluer le travail de votre assemblée, qui a précisé le dispositif proposé par le Gouvernement et permis de donner, selon les termes du président Warsmann, « plus de substance à la définition constitutionnelle des lois-cadres ». Le Sénat, de son côté, a complété le dispositif en prévoyant, dans un souci de cohérence, que le Conseil constitutionnel procède à ces contrôles dans le cadre d’un examen conjoint des lois de finances et de financement de la sécurité sociale. Afin de tenir compte de l’évolution de la conjoncture économique, le projet de loi constitutionnelle préserve enfin la possibilité d’ajuster une loi-cadre en cours d’exercice. Cette flexibilité devra être strictement encadrée par la loi organique, à défaut de quoi la programmation perdrait de sa substance. Mesdames, messieurs les députés, le dispositif qu’il vous est proposé d’approuver, enrichi par le travail parlementaire, est équilibré et cohérent. Cette solution, directement inspirée des travaux de la commission présidée par M. Camdessus et au sein de laquelle étaient représentées plusieurs familles de pensée – il n’est pas interdit de le rappeler en cet instant –, recueillera, j’en suis sûr, votre accord définitif.","882","no","mercredi 13 juillet 2011","Première Première"
"Mme Martine Billard."," C&#x2019;est la foi du charbonnier&nbsp;!","6","no","mercredi 13 juillet 2011","Première Première"
"M. Daniel Garrigue."," Cela ne suscite pas l&#x2019;enthousiasme&nbsp;! ","7","no","mercredi 13 juillet 2011","Première Première"
"Mme CatherineVautrin"," Mes chers collègues, seul M.&nbsp;le garde des sceaux a la parole. Je vous remercie de le laisser achever son propos.","21","yes","mercredi 13 juillet 2011","Première Première"
"M. Michel Mercier,","Un accord a également été trouvé sur plusieurs dispositions renforçant les droits du Parlement, s&#x2019;inscrivant ainsi dans le droit fil de la révision constitutionnelle du 23&nbsp;juillet 2008. Ainsi, les projets de loi de finances seront désormais déposés au plus tard le 15 septembre et non plus le premier mardi d’octobre. Chacun mesurera le progrès que représente cette modification, qui répond à une demande forte des membres du Parlement, singulièrement des commissions des finances. En outre, le Parlement sera désormais saisi, avant leur transmission aux institutions compétentes de l’Union européenne, des projets de programme de stabilité. L’inscription dans la Constitution de ce principe a très rapidement fait l’objet d’un consensus ; je m’en réjouis. Poursuivant l’engagement contenu dans la loi de programmation des finances publiques pour 2011-2014, le texte impose en effet que ce projet de programme de stabilité soit adressé aux assemblées. Sur ce point également, le travail du Parlement a permis de préciser le dispositif. Ainsi, le projet pourra être soumis à plusieurs commissions au sein de chaque assemblée et, si le Gouvernement ou un groupe parlementaire le demande, il pourra faire l’objet d’un débat en séance, suivi d’un vote, sans que la responsabilité du Gouvernement soit engagée. Cette consécration constitutionnelle est primordiale, car le Parlement doit pouvoir être informé des choix qui engagent nos orientations budgétaires et formuler un avis sur eux. Elle permettra en outre d’approfondir le débat, à l’heure où vient d’être instauré le « semestre européen ». Mesdames, messieurs les députés, en quelques années, nous avons profondément réformé nos finances publiques, en veillant à instaurer une gouvernance toujours plus responsable des comptes de l’État et de la sécurité sociale et en procédant à des réformes parfois difficiles, mais responsables, comme celle des retraites. Aujourd’hui, l’inscription d’une règle d’or budgétaire dans notre Constitution représente un signal fort, qui témoigne de notre détermination à redresser durablement les finances publiques. En votant ce texte, vous consacrerez donc un engagement commun à assainir durablement nos comptes publics et nos comptes sociaux. Je ne doute pas que le vote majoritaire qui s’exprimera tout à l’heure sera, tôt ou tard, le prélude à un consensus de toutes les familles politiques représentées dans cette assemblée. (Applaudissements sur les bancs des groupes UMP et NC.)","368","no","mercredi 13 juillet 2011","Première Première"
"Mme CatherineVautrin"," La parole est à M.&nbsp;Jean-Luc Warsmann, président et rapporteur de la commission des lois constitutionnelles, de la législation et de l&#x2019;administration générale de la République.","26","yes","mercredi 13 juillet 2011","Première Première"
"M. Jean-Luc Warsmann,","Mes chers collègues, à l&#x2019;orée de cette troisième lecture, je tiens d&#x2019;abord à dire à nouveau combien la dégradation de nos finances publiques depuis plusieurs décennies est inquiétante. Son corollaire, l&#x2019;accumulation de la dette publique, qui accroît la charge des intérêts à chaque loi de finances annuelle, représente un poids auquel il va falloir soustraire notre pays. Chacun doit se souvenir que les débuts de la Ve République, en 1958, ont été marqués non seulement par une nouvelle Constitution adoptée par nos concitoyens, mais aussi par la remise en ordre de notre pays du point de vue financier.","97","no","mercredi 13 juillet 2011","Première Première"
"M. Daniel Garrigue."," À cette époque, il y avait une Assemblée, monsieur le rapporteur&nbsp;!","12","no","mercredi 13 juillet 2011","Première Première"
